,price,bedrooms,bathrooms,sqft,city,state,latitude,longitude,homeType,homeStatus,distance_to_waterfront,additional_info,ind_HasGarage,features,ind_HasPool,ind_GolfCourseNearby,ind_ShoppingNearby,ind_Clubhouse,ind_RecreationNearby,ind_ParkNearby,ind_IsCornerLot,ind_IsCuldesac,price/sqft
56,1738000.0,4.0,2.0,2132.0,Delta,BC,49.009453,-123.072426,SINGLE_FAMILY,FOR_SALE,2.7077965634641767,"{'garage_stalls': None, 'features': 'Central Location, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,815.1969981238274
57,848000.0,4.0,3.0,1800.0,Delta,BC,49.090294,-123.065834,TOWNHOUSE,FOR_SALE,5.876492853426251,"{'garage_stalls': 2, 'features': 'Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby'}",2.0,"Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,471.1111111111111
59,1340000.0,4.0,3.0,2123.0,Delta,BC,49.026913,-123.07711,SINGLE_FAMILY,FOR_SALE,2.911821147215812,"{'garage_stalls': 1, 'features': 'Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby'}",1.0,"Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,631.1822892133773
60,1489000.0,4.0,4.0,2505.0,Delta,BC,49.021965,-123.08409,SINGLE_FAMILY,FOR_SALE,1.9897015388279418,"{'garage_stalls': None, 'features': None}",0.0,NA,False,False,False,False,False,False,False,False,594.4111776447106
61,2549900.0,4.0,6.0,3698.0,Delta,BC,49.080357,-123.083916,SINGLE_FAMILY,FOR_SALE,5.871094877943895,"{'garage_stalls': 2, 'features': None}",2.0,NA,False,False,False,False,False,False,False,False,689.5348837209302
62,1199000.0,3.0,1.0,1656.0,Delta,BC,49.008057,-123.042145,SINGLE_FAMILY,FOR_SALE,1.5449339271803042,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,724.0338164251208
63,1678000.0,4.0,5.0,2649.0,Delta,BC,49.086014,-123.08247,SINGLE_FAMILY,FOR_SALE,6.4881172289357405,"{'garage_stalls': 2, 'features': None}",2.0,NA,False,False,False,False,False,False,False,False,633.4465836164591
64,2350000.0,4.0,4.0,2635.0,Delta,BC,49.03451,-123.05634,SINGLE_FAMILY,FOR_SALE,1.9160672822581215,"{'garage_stalls': None, 'features': 'Recreation Nearby'}",0.0,Recreation Nearby,False,False,False,False,True,False,False,False,891.8406072106262
65,1498800.0,4.0,1.0,2605.0,Delta,BC,49.01785,-123.069115,SINGLE_FAMILY,FOR_SALE,3.3847607332011442,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,575.3550863723608
66,1890000.0,2.0,1.0,832.0,Delta,BC,49.093403,-123.05064,SINGLE_FAMILY,FOR_SALE,5.637040259922683,"{'garage_stalls': 2, 'features': None}",2.0,NA,False,False,False,False,False,False,False,False,2271.6346153846152
