,price,bedrooms,bathrooms,has_garage,has_parking,sqft,city,state,latitude,longitude,price/sqft
26,2795000.0,2.0,3.0,0,0,2334.0,Newport Beach,CA,33.619385,-117.884415,1197.51499571551
28,2790000.0,3.0,3.0,0,0,1464.0,Newport Beach,CA,33.604202,-117.90304,1905.7377049180327
29,2795000.0,4.0,5.0,0,0,3635.0,Huntington Beach,CA,33.689648,-118.0117,768.9133425034388
30,1349000.0,4.0,2.0,0,0,1850.0,Costa Mesa,CA,33.650696,-117.93572,729.1891891891892
31,1149000.0,2.0,2.0,0,0,1087.0,Newport Beach,CA,33.6232,-117.93431,1057.0377184912604
32,825000.0,3.0,3.0,0,0,1129.0,Newport Beach,CA,33.645966,-117.943695,730.7351638618246
33,739900.0,3.0,2.0,0,0,1248.0,Huntington Beach,CA,33.6701,-117.98488,592.8685897435897
34,748000.0,1.0,1.0,0,0,838.0,Huntington Beach,CA,33.661205,-117.99948,892.6014319809069
35,5595000.0,4.0,4.0,0,0,3330.0,Newport Beach,CA,33.629597,-117.897156,1680.1801801801803
38,2295000.0,2.0,2.0,0,0,1809.0,Newport Beach,CA,33.624146,-117.876305,1268.6567164179105
39,699000.0,2.0,2.0,0,0,1082.0,Costa Mesa,CA,33.653915,-117.91429,646.0258780036969
40,1049000.0,3.0,2.0,0,0,1350.0,Fountain Valley,CA,33.69062,-117.96136,777.0370370370371
42,3125000.0,4.0,4.0,0,0,3476.0,Newport Beach,CA,33.63658,-117.86594,899.0218642117376
43,10995000.0,3.0,4.0,0,0,3575.0,Newport Beach,CA,33.614838,-117.91267,3075.5244755244757
44,6995000.0,6.0,6.0,0,0,5031.0,Newport Beach,CA,33.620518,-117.91158,1390.3796461935997
45,23995000.0,5.0,6.0,0,0,5276.0,Corona Del Mar,CA,33.595974,-117.87869,4547.952994692949
46,1895000.0,3.0,2.0,0,0,1196.0,Costa Mesa,CA,33.654896,-117.910576,1584.448160535117
47,1399000.0,3.0,3.0,0,0,1710.0,Huntington Beach,CA,33.668186,-118.00793,818.1286549707602
48,3795000.0,4.0,3.0,0,0,2622.0,Newport Beach,CA,33.610584,-117.91564,1447.3684210526317
49,25900000.0,5.0,10.0,0,0,12977.0,Corona Del Mar,CA,33.591625,-117.85612,1995.8387917084071
50,499000.0,1.0,1.0,0,0,768.0,Costa Mesa,CA,33.65354,-117.91696,649.7395833333334
51,12000000.0,4.0,4.0,0,0,3418.0,Newport Beach,CA,33.596233,-117.88205,3510.825043885313
